
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02252
    c    v      wtot      wmax     ikmax
    5   12   0.00008   0.00004         2
    6    1   0.00007   0.00003         7
    6    2   0.00002   0.00000         4
    6    3   0.00078   0.00046         8
    6    4   0.00036   0.00021         8
    6    5   0.00007   0.00002         5
    6    6   0.00000   0.00000         4
    6    7   0.00001   0.00000         5
    6    8   0.00001   0.00000         8
    6    9   0.00002   0.00001         3
    6   10   0.00001   0.00000         1
    6   11   0.00004   0.00003         2
    6   12   0.00002   0.00001         2
    7    1   0.00000   0.00000         2
    7    2   0.00002   0.00001         2
    7    3   0.00009   0.00006         8
    7    4   0.00028   0.00017         1
    7    5   0.00002   0.00001         4
    7    6   0.00001   0.00000         6
    7    7   0.00001   0.00000         7
    7    8   0.00001   0.00000         4
    7    9   0.00003   0.00002         1
    7   10   0.00001   0.00000         8
    7   11   0.00005   0.00004         2
    7   12   0.00005   0.00003         2
    8    1   0.00002   0.00001         1
    8    2   0.00006   0.00002         1
    8    3   0.00003   0.00001         5
    8    4   0.00045   0.00043         1
    8    5   0.00001   0.00000         1
    8    6   0.00000   0.00000         8
    8    7   0.00001   0.00000         7
    8    8   0.00000   0.00000         2
    8    9   0.00001   0.00000         7
    8   10   0.00000   0.00000         7
    8   11   0.00002   0.00002         2
    8   12   0.00003   0.00001         2
    9    1   0.00003   0.00001         2
    9    2   0.00010   0.00004         7
    9    3   0.00035   0.00029         1
    9    4   0.00004   0.00001         1
    9    5   0.00005   0.00005         1
    9    6   0.00002   0.00000         7
    9    7   0.00001   0.00000         8
    9    8   0.00002   0.00002         1
    9    9   0.00000   0.00000         2
    9   10   0.00000   0.00000         2
    9   11   0.00004   0.00003         2
    9   12   0.00001   0.00001         2
   10    1   0.00000   0.00000         3
   10    2   0.00003   0.00002         2
   10    3   0.00008   0.00004         2
   10    4   0.00036   0.00026         2
   10    5   0.00016   0.00012         2
   10    6   0.00003   0.00002         2
   10    7   0.00000   0.00000         2
   10    8   0.00002   0.00001         2
   10    9   0.00000   0.00000         1
   10   10   0.00001   0.00001         2
   10   11   0.00000   0.00000         6
   10   12   0.00001   0.00000         5
   11    1   0.00001   0.00001         2
   11    2   0.00001   0.00001         2
   11    3   0.00001   0.00001         2
   11    4   0.00016   0.00011         2
   11    5   0.00021   0.00013         2
   11    6   0.00001   0.00001         2
   11    7   0.00000   0.00000         1
   11    8   0.00004   0.00002         2
   11    9   0.00001   0.00000         8
   11   10   0.00001   0.00000         2
   11   11   0.00000   0.00000         2
   11   12   0.00000   0.00000         2
   12    1   0.00000   0.00000         7
   12    2   0.00000   0.00000         4
   12    3   0.00000   0.00000         7
   12    4   0.00001   0.00001         7
   12    5   0.00000   0.00000         3
   12    6   0.00000   0.00000         7
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         4
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         7
   12   11   0.00000   0.00000         3
   12   12   0.00000   0.00000         3


 Special analysis for state     4   1.15007
    c    v      wtot      wmax     ikmax
    1    1   0.11614   0.02858         5
    1    2   0.11152   0.04122         7
    1    3   0.04867   0.01649         6
    1    4   0.00465   0.00238         4
    1    5   0.00395   0.00089         2
    1    6   0.00052   0.00015         3
    1    7   0.00018   0.00010         7
    1    8   0.00057   0.00010         6
    1    9   0.00004   0.00001         4
    1   10   0.00002   0.00001         6
    1   11   0.00003   0.00001         2
    1   12   0.00013   0.00003         5
    2    1   0.15335   0.04301         2
    2    2   0.40250   0.15592         1
    2    3   0.01569   0.01038         6
    2    4   0.00808   0.00668         5
    2    5   0.00068   0.00053         2
    2    6   0.00044   0.00018         7
    2    7   0.00004   0.00001         7
    2    8   0.00004   0.00003         4
    2    9   0.00011   0.00003         5
    2   10   0.00001   0.00000         6
    2   11   0.00001   0.00000         3
    2   12   0.00001   0.00000         1
    3    1   0.03836   0.01593         5
    3    2   0.00477   0.00178         6
    3    3   0.00649   0.00343         5
    3    4   0.01090   0.00697         4
    3    5   0.00680   0.00537         3
    3    6   0.00055   0.00035         3
    3    7   0.00068   0.00024         1
    3    8   0.00019   0.00008         5
    3    9   0.00016   0.00004         3
    3   10   0.00001   0.00001         1
    3   11   0.00007   0.00004         2
