
Reading eigenvectors

Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.04368
    c    v      wtot      wmax     ikmax
   11    9   0.00000   0.00000         7
   11   10   0.00000   0.00000         7
   11   11   0.00000   0.00000         1
   11   12   0.00000   0.00000         7
   12    1   0.00000   0.00000         6
   12    2   0.00000   0.00000         1
   12    3   0.00000   0.00000         1
   12    4   0.00000   0.00000         2
   12    5   0.00000   0.00000         7
   12    6   0.00000   0.00000         3
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         6
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         8
   12   11   0.00000   0.00000         4
   12   12   0.00000   0.00000         2


 Special analysis for state     5   1.28099
    c    v      wtot      wmax     ikmax
    1    1   0.04320   0.04320         5
    1    2   0.04036   0.04022         5
    1    3   0.36486   0.15552         6
    1    4   0.01762   0.01761         1
    1    5   0.00000   0.00000         1
    1    6   0.00000   0.00000         1
    1    7   0.00000   0.00000         3
    1    8   0.00000   0.00000         4
    1    9   0.00000   0.00000         5
    1   10   0.00000   0.00000         5
    1   11   0.00000   0.00000         1
    1   12   0.00000   0.00000         8
    2    1   0.04014   0.04011         5
    2    2   0.04310   0.04310         5
    2    3   0.01758   0.01757         1
    2    4   0.07940   0.06124         2
    2    5   0.00002   0.00002         2
    2    6   0.00000   0.00000         3
    2    7   0.00276   0.00276         3
    2    8   0.00239   0.00239         4
    2    9   0.00000   0.00000         4
    2   10   0.00000   0.00000         5
    2   11   0.00000   0.00000         1
    2   12   0.00000   0.00000         1
    3    1   0.30691   0.15686         4
    3    2   0.00397   0.00397         1
    3    3   0.00000   0.00000         4
    3    4   0.00000   0.00000         4
    3    5   0.00000   0.00000         5
    3    6   0.00000   0.00000         4
    3    7   0.00000   0.00000         2
    3    8   0.00000   0.00000         4
    3    9   0.00050   0.00050         5
    3   10   0.00047   0.00047         5
    3   11   0.00000   0.00000         3
    3   12   0.00000   0.00000         5
    4    1   0.00395   0.00395         1
    4    2   0.00452   0.00452         1
    4    3   0.00000   0.00000         6
    4    4   0.00000   0.00000         4
    4    5   0.00000   0.00000         5
    4    6   0.00000   0.00000         7
    4    7   0.00000   0.00000         5
    4    8   0.00000   0.00000         5
    4    9   0.00047   0.00047         5
    4   10   0.00204   0.00145         6
    4   11   0.00000   0.00000         6
    4   12   0.00000   0.00000         5
    5    1   0.00000   0.00000         8
    5    2   0.01388   0.01386         8
    5    3   0.00000   0.00000         6
    5    4   0.00000   0.00000         2
    5    5   0.00000   0.00000         8
    5    6   0.00000   0.00000         8
    5    7   0.00000   0.00000         8
    5    8   0.00000   0.00000         8
    5    9   0.00000   0.00000         6
    5   10   0.00000   0.00000         8
    5   11   0.00000   0.00000         7
    5   12   0.00000   0.00000         8
    6    1   0.00000   0.00000         1
    6    2   0.00001   0.00001         8
    6    3   0.00000   0.00000         5
    6    4   0.00000   0.00000         2
    6    5   0.00000   0.00000         8
    6    6   0.00000   0.00000         3
    6    7   0.00000   0.00000         4
    6    8   0.00000   0.00000         4
    6    9   0.00000   0.00000         5
    6   10   0.00000   0.00000         1
    6   11   0.00000   0.00000         8
    6   12   0.00000   0.00000         8
    7    1   0.00000   0.00000         2
    7    2   0.00939   0.00939         7
    7    3   0.00000   0.00000         7
    7    4   0.00000   0.00000         5
    7    5   0.00000   0.00000         5
    7    6   0.00000   0.00000         6
    7    7   0.00000   0.00000         2
    7    8   0.00000   0.00000         8
    7    9   0.00000   0.00000         5
    7   10   0.00000   0.00000         7
    7   11   0.00000   0.00000         7
    7   12   0.00000   0.00000         2
    8    1   0.00000   0.00000         3
    8    2   0.00116   0.00116         6
    8    3   0.00000   0.00000         6
    8    4   0.00000   0.00000         5
    8    5   0.00000   0.00000         5
    8    6   0.00000   0.00000         2
    8    7   0.00000   0.00000         2
    8    8   0.00000   0.00000         7
    8    9   0.00000   0.00000         5
    8   10   0.00000   0.00000         6

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    8   11   0.00000   0.00000         1
    8   12   0.00000   0.00000         2
    9    1   0.00000   0.00000         5
    9    2   0.00000   0.00000         6
    9    3   0.00019   0.00019         5
    9    4   0.00017   0.00017         5
    9    5   0.00000   0.00000         4
    9    6   0.00000   0.00000         5
    9    7   0.00000   0.00000         1
    9    8   0.00000   0.00000         1
    9    9   0.00000   0.00000         8
    9   10   0.00000   0.00000         8
    9   11   0.00000   0.00000         7
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    9   12   0.00000   0.00000         3
   10    1   0.00000   0.00000         4
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
   10    2   0.00000   0.00000         5
   10    3   0.00017   0.00017         5
   10    4   0.00076   0.00057         4
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
   10    5   0.00000   0.00000         2
   10    6   0.00000   0.00000         1
   10    7   0.00000   0.00000         1
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
   10    8   0.00000   0.00000         1
   10    9   0.00000   0.00000         2
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.
   10   10   0.00000   0.00000         2
   10   11   0.00000   0.00000         5
   10   12   0.00000   0.00000         2
   11    1   0.00000   0.00000         3
   11    2   0.00000   0.00000         7
   11    3   0.00000   0.00000         7
   11    4   0.00000   0.00000         3
   11    5   0.00000   0.00000         7
   11    6   0.00000   0.00000         1
   11    7   0.00000   0.00000         2
   11    8   0.00000   0.00000         1
   11    9   0.00000   0.00000         7
   11   10   0.00000   0.00000         7
   11   11   0.00000   0.00000         7
   11   12   0.00000   0.00000         5
   12    1   0.00000   0.00000         6
   12    2   0.00000   0.00000         7
   12    3   0.00000   0.00000         6
   12    4   0.00000   0.00000         3
   12    5   0.00000   0.00000         7
   12    6   0.00000   0.00000         6
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         6
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         8
   12   11   0.00000   0.00000         5
   12   12   0.00000   0.00000         5


 Special analysis for state     6   1.28109
    c    v      wtot      wmax     ikmax
    1    1   0.04051   0.04051         5
    1    2   0.04352   0.04337         5
    1    3   0.31805   0.16039         4
    1    4   0.00547   0.00546         1
    1    5   0.00000   0.00000         1
