
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02651
    c    v      wtot      wmax     ikmax
    5    5   0.00304   0.00134         3
    5    6   0.00011   0.00010         3
    5    7   0.00019   0.00009         5
    5    8   0.00048   0.00026         5
    5    9   0.00009   0.00004         6
    5   10   0.00009   0.00002         6
    5   11   0.00001   0.00001         6
    5   12   0.00009   0.00006         5
    6    1   0.00050   0.00023         8
    6    2   0.00027   0.00010         8
    6    3   0.00051   0.00022         2
    6    4   0.00019   0.00014         3
    6    5   0.00055   0.00035         2
    6    6   0.00006   0.00002         1
    6    7   0.00008   0.00007         2
    6    8   0.00004   0.00002         2
    6    9   0.00006   0.00002         7
    6   10   0.00005   0.00002         2
    6   11   0.00020   0.00018         2
    6   12   0.00003   0.00002         2
    7    1   0.00046   0.00014         2
    7    2   0.00026   0.00009         8
    7    3   0.00059   0.00024         8
    7    4   0.00032   0.00027         2
    7    5   0.00038   0.00016         2
    7    6   0.00004   0.00002         8
    7    7   0.00013   0.00007         2
    7    8   0.00010   0.00004         5
    7    9   0.00003   0.00002         8
    7   10   0.00003   0.00001         2
    7   11   0.00005   0.00005         2
    7   12   0.00003   0.00001         2
    8    1   0.00044   0.00029         7
    8    2   0.00011   0.00005         6
    8    3   0.00025   0.00016         7
    8    4   0.00047   0.00011         6
    8    5   0.00008   0.00005         1
    8    6   0.00003   0.00002         7
    8    7   0.00019   0.00014         7
    8    8   0.00013   0.00003         6
    8    9   0.00002   0.00001         4
    8   10   0.00001   0.00000         1
    8   11   0.00001   0.00000         1
    8   12   0.00001   0.00000         4
    9    1   0.00017   0.00007         2
    9    2   0.00014   0.00004         1
    9    3   0.00054   0.00015         2
    9    4   0.00019   0.00009         3
    9    5   0.00028   0.00013         2
    9    6   0.00011   0.00004         3
    9    7   0.00004   0.00003         3
    9    8   0.00004   0.00002         5
    9    9   0.00005   0.00003         1
    9   10   0.00007   0.00002         7
    9   11   0.00003   0.00001         1
    9   12   0.00001   0.00001         5
   10    1   0.00006   0.00003         3
   10    2   0.00007   0.00003         5
   10    3   0.00021   0.00015         2
   10    4   0.00012   0.00003         1
   10    5   0.00018   0.00012         8
   10    6   0.00003   0.00001         1
   10    7   0.00002   0.00002         8
   10    8   0.00001   0.00000         4
   10    9   0.00002   0.00002         5
   10   10   0.00003   0.00001         2
   10   11   0.00007   0.00004         2
   10   12   0.00001   0.00000         2
   11    1   0.00004   0.00002         1
   11    2   0.00005   0.00003         4
   11    3   0.00015   0.00006         4
   11    4   0.00015   0.00007         4
   11    5   0.00008   0.00003         5
   11    6   0.00001   0.00000         2
   11    7   0.00001   0.00001         5
   11    8   0.00003   0.00002         1
   11    9   0.00003   0.00002         4
   11   10   0.00002   0.00001         2
   11   11   0.00002   0.00001         8
   11   12   0.00000   0.00000         5
   12    1   0.00000   0.00000         3
   12    2   0.00000   0.00000         3
   12    3   0.00000   0.00000         7
   12    4   0.00001   0.00000         3
   12    5   0.00000   0.00000         2
   12    6   0.00000   0.00000         3
   12    7   0.00001   0.00001         7
   12    8   0.00000   0.00000         7
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         3
   12   11   0.00000   0.00000         7
   12   12   0.00000   0.00000         7


 Special analysis for state     5   1.19139
    c    v      wtot      wmax     ikmax
    1    1   0.02467   0.00686         1
    1    2   0.00348   0.00090         1
    1    3   0.02016   0.00453         7
    1    4   0.00631   0.00345         6
    1    5   0.01728   0.00697         5
    1    6   0.00121   0.00073         3
    1    7   0.00090   0.00022         3
    1    8   0.00103   0.00041         1
    1    9   0.00013   0.00005         3
    1   10   0.00005   0.00001         6
    1   11   0.00028   0.00014         2
    1   12   0.00011   0.00006         2
    2    1   0.09491   0.03170         5
    2    2   0.57993   0.16772         1
    2    3   0.00952   0.00426         5
    2    4   0.00696   0.00295         6
    2    5   0.00295   0.00202         5
    2    6   0.00035   0.00017         3
    2    7   0.00003   0.00002         3
    2    8   0.00005   0.00002         8
    2    9   0.00001   0.00001         1
    2   10   0.00001   0.00001         6
    2   11   0.00001   0.00000         1
    2   12   0.00001   0.00000         8
    3    1   0.08963   0.01884         2
    3    2   0.02942   0.01313         2
    3    3   0.00427   0.00158         4
    3    4   0.00730   0.00513         5
    3    5   0.00119   0.00048         2
    3    6   0.00014   0.00007         3
    3    7   0.00006   0.00004         7
    3    8   0.00042   0.00017         1
    3    9   0.00007   0.00002         2
    3   10   0.00004   0.00001         5
    3   11   0.00009   0.00005         2
    3   12   0.00004   0.00003         2
    4    1   0.01106   0.00414         3
    4    2   0.00958   0.00624         5
    4    3   0.00884   0.00321         3
    4    4   0.00864   0.00481         5
    4    5   0.01445   0.00628         4
    4    6   0.00077   0.00070         3
    4    7   0.00031   0.00010         8
    4    8   0.00028   0.00011         1
    4    9   0.00002   0.00001         3
    4   10   0.00001   0.00000         1
    4   11   0.00002   0.00001         4
    4   12   0.00004   0.00003         3
    5    1   0.01150   0.00873         5
    5    2   0.00612   0.00243         4
    5    3   0.01040   0.00420         6
    5    4   0.00200   0.00104         3
    5    5   0.00387   0.00138         4
    5    6   0.00039   0.00030         3
    5    7   0.00016   0.00008         3
    5    8   0.00012   0.00004         6
    5    9   0.00021   0.00017         1
    5   10   0.00001   0.00001         3
    5   11   0.00005   0.00001         3
    5   12   0.00001   0.00000         4
    6    1   0.00063   0.00037         2
    6    2   0.00036   0.00025         2
    6    3   0.00094   0.00054         2
    6    4   0.00009   0.00006         8
    6    5   0.00046   0.00039         2
    6    6   0.00011   0.00002         1
    6    7   0.00001   0.00001         2
    6    8   0.00001   0.00000         6
    6    9   0.00003   0.00001         1
    6   10   0.00003   0.00002         2
    6   11   0.00020   0.00012         2
    6   12   0.00001   0.00001         2
    7    1   0.00016   0.00006         2
    7    2   0.00029   0.00013         8
    7    3   0.00021   0.00006         1
    7    4   0.00045   0.00034         8
    7    5   0.00024   0.00012         2
    7    6   0.00001   0.00000         2
    7    7   0.00004   0.00002         2
    7    8   0.00007   0.00004         8
    7    9   0.00001   0.00001         8
    7   10   0.00002   0.00001         2
    7   11   0.00009   0.00005         2
    7   12   0.00001   0.00000         2
    8    1   0.00017   0.00011         7
    8    2   0.00020   0.00011         7
    8    3   0.00029   0.00014         1
    8    4   0.00027   0.00015         1
    8    5   0.00011   0.00006         1
    8    6   0.00001   0.00000         3
    8    7   0.00011   0.00007         7
    8    8   0.00006   0.00002         4
    8    9   0.00001   0.00000         5
    8   10   0.00002   0.00001         5
    8   11   0.00002   0.00002         7
    8   12   0.00002   0.00002         7
    9    1   0.00004   0.00002         5
    9    2   0.00006   0.00004         1
    9    3   0.00008   0.00004         3
    9    4   0.00011   0.00006         1
    9    5   0.00044   0.00033         1
    9    6   0.00005   0.00001         1
    9    7   0.00003   0.00002         2
    9    8   0.00003   0.00001         5
    9    9   0.00010   0.00004         1
    9   10   0.00001   0.00000         6
    9   11   0.00003   0.00001         2
    9   12   0.00001   0.00000         2
   10    1   0.00002   0.00001         2
   10    2   0.00004   0.00002         2
   10    3   0.00015   0.00011         2
   10    4   0.00001   0.00000         5
   10    5   0.00063   0.00048         2
   10    6   0.00003   0.00001         1
   10    7   0.00005   0.00004         2
   10    8   0.00001   0.00001         2
   10    9   0.00003   0.00002         1
   10   10   0.00002   0.00001         5
   10   11   0.00008   0.00004         2
   10   12   0.00000   0.00000         3
   11    1   0.00003   0.00001         2
   11    2   0.00000   0.00000         8
   11    3   0.00004   0.00001         6
   11    4   0.00002   0.00002         1
   11    5   0.00012   0.00009         2
   11    6   0.00001   0.00001         2
   11    7   0.00001   0.00001         2
   11    8   0.00000   0.00000         5
   11    9   0.00001   0.00000         6
   11   10   0.00002   0.00001         6
   11   11   0.00002   0.00001         2
   11   12   0.00001   0.00001         2
   12    1   0.00000   0.00000         7
   12    2   0.00000   0.00000         7
   12    3   0.00000   0.00000         7
   12    4   0.00000   0.00000         7
   12    5   0.00001   0.00000         2
   12    6   0.00000   0.00000         2
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         7
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         3
   12   11   0.00000   0.00000         7
   12   12   0.00000   0.00000         7


 Special analysis for state     6   1.26862
    c    v      wtot      wmax     ikmax
    1    1   0.02902   0.01219         4
    1    2   0.05811   0.03850         5
    1    3   0.08685   0.03584         6
    1    4   0.04569   0.01479         5
    1    5   0.03945   0.01011         1
    1    6   0.00127   0.00037         3
    1    7   0.00405   0.00121         7
    1    8   0.00212   0.00069         4
    1    9   0.00181   0.00135         1
    1   10   0.00083   0.00026         2
    1   11   0.00163   0.00095         2
    1   12   0.00017   0.00007         7
    2    1   0.04661   0.01568         4
    2    2   0.08727   0.02380         2
    2    3   0.03361   0.01165         1
    2    4   0.02072   0.00622         7
    2    5   0.00156   0.00073         2
    2    6   0.00027   0.00008         8
    2    7   0.00083   0.00024         7
    2    8   0.00067   0.00028         4
    2    9   0.00031   0.00026         5
    2   10   0.00010   0.00004         5
    2   11   0.00007   0.00006         2
